Row,Column,Value
Genus:sp17,Genus:sp62,0.05509
Genus:sp17,Genus:sp63,0.04183
Genus:sp17,Genus:sp64,0.04847
Genus:sp17,Genus:sp65,0.04346
Genus:sp17,Genus:sp66,0.04241
Genus:sp17,Genus:sp67,0.05006
Genus:sp17,Genus:sp68,0.04168
Genus:sp17,Genus:sp69,0.01988
Genus:sp17,Genus:sp7,0.04615
Genus:sp17,Genus:sp8,0.02362
Genus:sp17,Genus:sp9,0.04285
Genus:sp18,Genus:sp10,0.05819
Genus:sp18,Genus:sp11,0.04997
Genus:sp18,Genus:sp12,0.05297
Genus:sp18,Genus:sp13,0.05816
Genus:sp18,Genus:sp14,0.05845
Genus:sp18,Genus:sp15,0.0762
Genus:sp18,Genus:sp16,0.06161
Genus:sp18,Genus:sp17,0.06009
Genus:sp18,Genus:sp18,0.03152
Genus:sp18,Genus:sp19,0.05842
Genus:sp18,Genus:sp2,0.04031
Genus:sp18,Genus:sp20,0.04671
Genus:sp18,Genus:sp21,0.06
Genus:sp18,Genus:sp22,0.06162
Genus:sp18,Genus:sp23,0.05195
Genus:sp18,Genus:sp24,0.05206
Genus:sp18,Genus:sp25,0.04771
Genus:sp18,Genus:sp26,0.02788
Genus:sp18,Genus:sp27,0.0582
Genus:sp18,Genus:sp28,0.05023
Genus:sp18,Genus:sp29,0.04923
Genus:sp18,Genus:sp3,0.06477
Genus:sp18,Genus:sp30,0.04537
Genus:sp18,Genus:sp31,0.04418
Genus:sp18,Genus:sp32,0.02753
Genus:sp18,Genus:sp33,0.05393
Genus:sp18,Genus:sp34,0.05116
Genus:sp18,Genus:sp35,0.0414
Genus:sp18,Genus:sp36,0.05513
Genus:sp18,Genus:sp37,0.06039
Genus:sp18,Genus:sp38,0.04814
Genus:sp18,Genus:sp39,0.04714
Genus:sp18,Genus:sp4,0.05807
Genus:sp18,Genus:sp40,0.05198
Genus:sp18,Genus:sp41,0.04868
Genus:sp18,Genus:sp42,0.04884
Genus:sp18,Genus:sp43,0.04705
Genus:sp18,Genus:sp44,0.03089
Genus:sp18,Genus:sp45,0.02311
Genus:sp18,Genus:sp46,0.04938
Genus:sp18,Genus:sp47,0.05249
Genus:sp18,Genus:sp48,0.05332
Genus:sp18,Genus:sp49,0.04532
Genus:sp18,Genus:sp5,0.0584
Genus:sp18,Genus:sp50,0.05058
Genus:sp18,Genus:sp51,0.05781
Genus:sp18,Genus:sp52,0.05723
Genus:sp18,Genus:sp53,0.05838
Genus:sp18,Genus:sp54,0.0533
Genus:sp18,Genus:sp55,0.05788
Genus:sp18,Genus:sp56,0.04815
